"","GSM3635285","GSM3635286","GSM3635296","GSM3635298","GSM3635301","GSM3635302","GSM4186959","GSM4186960","GSM4301253","GSM4301256","GSM4301257","GSM4301259","GSM5444606","GSM5444607","GSM5444608","GSM5444611","GSM5444613","GSM5444614","GSM5444618","GSM5444619","GSM5444621","GSM5444625","GSM5444627","GSM5444628","GSM5444629","GSM5444632","GSM5444636","GSM5444637","GSM5444641","GSM5444642","GSM5444644","GSM5444645","GSM5444647","GSM5444650","GSM5870246","GSM5870247","GSM5870248","GSM5870249","GSM5870251","GSM5870253","GSM5870254","GSM5870256","GSM5870257","GSM5870258","Normal","NSCLC","Tumor"
"AT1",0,0,8,1,2,1,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,5,9,1,0,0,0,2,26,34,0
"AT2",1,3,19,5,5,2,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,10,8,30,11,1,0,5,0,68,51,0
"B",3,2,21,39,10,6,16,3,1,38,10,8,1,0,1,0,0,0,1,5,0,1,6,2,1,0,0,1,1,12,5,4,31,6,0,0,3,2,8,6,1,2,1,0,21,235,2
"Basal",0,1,0,0,1,0,40,153,0,0,2,0,0,0,3,0,5,0,0,21,0,2,8,0,0,13,1,5,0,0,0,0,0,68,0,0,2,1,3,12,0,3,1,8,27,323,3
"Basophil_Mast",0,0,0,7,11,6,6,0,0,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,6,1,10,3,1,3,2,1,30,81,3
"Ciliated",0,0,1,22,0,0,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,4,0,6,2,1,1,0,16,42,1
"DC",0,0,7,16,42,35,12,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,13,6,3,6,12,10,0,8,60,120,10
"Endothelial",1,1,4,7,3,3,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,28,13,19,21,9,100,12,9,113,41,100
"Epithelial",0,0,11,9,24,25,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,4,1,6,4,12,5,11,36,123,12
"Fibroblast",0,1,7,1,1,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,5,1,5,0,4,32,34,5
"Macrophages",14,8,47,19,95,97,41,4,14,17,5,10,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,218,32,67,8,23,36,168,24,25,40,617,377,24
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,32,2,0,1,37,0,2
"Monocytes",2,1,3,7,39,32,8,0,0,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,12,27,16,28,6,8,9,3,129,155,8
"NK",0,0,1,3,1,3,6,0,1,2,12,41,9,6,2,1,2,10,2,7,3,3,1,23,0,2,0,16,6,6,3,7,5,29,2,4,36,46,6,3,11,12,11,5,124,213,12
"Plasma",0,0,1,17,8,4,5,0,0,3,6,1,2,1,2,0,0,0,1,3,1,1,2,3,0,0,0,1,2,6,1,2,9,2,0,0,5,1,2,4,1,1,2,0,15,84,1
"Stromal",2,0,2,4,2,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,0,55,0,15,26,35,55
"T",6,4,52,117,36,54,92,0,261,187,151,219,78,85,54,5,9,30,45,62,85,42,84,237,229,25,9,36,72,210,110,102,155,62,19,22,63,79,73,121,24,39,122,63,586,3005,39
